name,lat,lng,hour,day,available_spots,total_capacity
Guwahati Railway Station,26.181,91.75,0,3,181,300
Select CITYWALK,28.528,77.218,17,0,197,350
Connaught Place,28.631,77.219,10,6,122,200
Gateway of India Parking,18.922,72.834,5,3,36,80
Connaught Place,28.631,77.219,5,3,149,200
Chhatrapati Shivaji Terminus,18.94,72.835,9,5,82,150
M Chinnaswamy Stadium,12.978,77.599,23,2,363,600
City Centre Mall,26.152,91.776,14,5,20,120
City Centre Mall,26.152,91.776,11,5,6,120
Select CITYWALK,28.528,77.218,0,0,220,350
Chhatrapati Shivaji Terminus,18.94,72.835,8,3,84,150
India Gate Parking,28.612,77.229,5,5,77,100
Guwahati Railway Station,26.181,91.75,22,4,239,300
Indira Gandhi Athletic Stadium,26.111,91.761,19,2,297,500
City Centre Mall,26.152,91.776,4,0,86,120
Chhatrapati Shivaji Terminus,18.94,72.835,23,0,88,150
M Chinnaswamy Stadium,12.978,77.599,22,0,325,600
Gateway of India Parking,18.922,72.834,14,6,52,80
Gateway of India Parking,18.922,72.834,19,0,61,80
India Gate Parking,28.612,77.229,2,6,62,100
UB City Mall,12.971,77.595,8,6,10,200
Select CITYWALK,28.528,77.218,20,1,159,350
M Chinnaswamy Stadium,12.978,77.599,3,2,469,600
Guwahati Railway Station,26.181,91.75,12,0,205,300
City Centre Mall,26.152,91.776,1,0,76,120
Gateway of India Parking,18.922,72.834,3,1,49,80
Guwahati Railway Station,26.181,91.75,1,2,175,300
City Centre Mall,26.152,91.776,19,2,66,120
City Centre Mall,26.152,91.776,7,1,79,120
Connaught Place,28.631,77.219,12,3,159,200
India Gate Parking,28.612,77.229,5,3,65,100
M Chinnaswamy Stadium,12.978,77.599,9,3,428,600
City Centre Mall,26.152,91.776,4,2,75,120
Guwahati Railway Station,26.181,91.75,8,0,233,300
Gateway of India Parking,18.922,72.834,10,2,34,80
M Chinnaswamy Stadium,12.978,77.599,5,3,453,600
Guwahati Railway Station,26.181,91.75,17,6,194,300
Connaught Place,28.631,77.219,7,3,119,200
M Chinnaswamy Stadium,12.978,77.599,3,2,316,600
Connaught Place,28.631,77.219,14,0,126,200
UB City Mall,12.971,77.595,2,3,155,200
India Gate Parking,28.612,77.229,22,4,40,100
Gateway of India Parking,18.922,72.834,4,2,39,80
Select CITYWALK,28.528,77.218,1,0,166,350
Select CITYWALK,28.528,77.218,8,3,145,350
Connaught Place,28.631,77.219,14,2,153,200
India Gate Parking,28.612,77.229,15,6,75,100
India Gate Parking,28.612,77.229,10,0,46,100
Guwahati Railway Station,26.181,91.75,12,2,185,300
India Gate Parking,28.612,77.229,3,1,79,100
Gateway of India Parking,18.922,72.834,20,3,63,80
Guwahati Railway Station,26.181,91.75,16,3,164,300
India Gate Parking,28.612,77.229,13,5,44,100
India Gate Parking,28.612,77.229,20,6,64,100
M Chinnaswamy Stadium,12.978,77.599,22,1,422,600
India Gate Parking,28.612,77.229,19,5,49,100
Connaught Place,28.631,77.219,13,4,129,200
Indira Gandhi Athletic Stadium,26.111,91.761,6,2,225,500
UB City Mall,12.971,77.595,3,1,90,200
City Centre Mall,26.152,91.776,19,5,11,120
M Chinnaswamy Stadium,12.978,77.599,12,5,478,600
Indira Gandhi Athletic Stadium,26.111,91.761,17,6,200,500
Phoenix Marketcity,19.088,72.882,18,3,176,400
Phoenix Marketcity,19.088,72.882,18,1,215,400
M Chinnaswamy Stadium,12.978,77.599,14,5,309,600
City Centre Mall,26.152,91.776,23,0,53,120
Gateway of India Parking,18.922,72.834,21,4,33,80
Phoenix Marketcity,19.088,72.882,12,1,212,400
M Chinnaswamy Stadium,12.978,77.599,21,6,452,600
UB City Mall,12.971,77.595,19,1,91,200
City Centre Mall,26.152,91.776,16,0,54,120
India Gate Parking,28.612,77.229,14,5,65,100
Select CITYWALK,28.528,77.218,7,4,229,350
Chhatrapati Shivaji Terminus,18.94,72.835,15,1,104,150
Chhatrapati Shivaji Terminus,18.94,72.835,6,5,75,150
Chhatrapati Shivaji Terminus,18.94,72.835,17,3,90,150
Phoenix Marketcity,19.088,72.882,5,2,316,400
Connaught Place,28.631,77.219,9,2,119,200
Guwahati Railway Station,26.181,91.75,1,5,193,300
Connaught Place,28.631,77.219,14,6,125,200
Chhatrapati Shivaji Terminus,18.94,72.835,7,3,73,150
Select CITYWALK,28.528,77.218,19,1,254,350
City Centre Mall,26.152,91.776,7,0,80,120
Chhatrapati Shivaji Terminus,18.94,72.835,5,4,70,150
Gateway of India Parking,18.922,72.834,1,1,60,80
Select CITYWALK,28.528,77.218,19,4,141,350
UB City Mall,12.971,77.595,8,3,129,200
Guwahati Railway Station,26.181,91.75,8,2,163,300
India Gate Parking,28.612,77.229,15,1,70,100
City Centre Mall,26.152,91.776,1,6,14,120
Gateway of India Parking,18.922,72.834,0,0,47,80
Gateway of India Parking,18.922,72.834,16,0,32,80
Phoenix Marketcity,19.088,72.882,16,0,277,400
M Chinnaswamy Stadium,12.978,77.599,19,0,303,600
Guwahati Railway Station,26.181,91.75,17,0,220,300
Connaught Place,28.631,77.219,0,3,127,200
Phoenix Marketcity,19.088,72.882,9,6,273,400
Connaught Place,28.631,77.219,8,4,93,200
Phoenix Marketcity,19.088,72.882,15,3,271,400
Chhatrapati Shivaji Terminus,18.94,72.835,16,0,78,150
UB City Mall,12.971,77.595,19,1,151,200
Gateway of India Parking,18.922,72.834,20,0,36,80
Gateway of India Parking,18.922,72.834,4,0,55,80
UB City Mall,12.971,77.595,21,5,22,200
Indira Gandhi Athletic Stadium,26.111,91.761,0,0,242,500
City Centre Mall,26.152,91.776,13,6,23,120
Select CITYWALK,28.528,77.218,23,2,236,350
India Gate Parking,28.612,77.229,11,2,47,100
Gateway of India Parking,18.922,72.834,5,0,45,80
UB City Mall,12.971,77.595,11,2,128,200
Guwahati Railway Station,26.181,91.75,16,2,191,300
Chhatrapati Shivaji Terminus,18.94,72.835,10,3,74,150
Guwahati Railway Station,26.181,91.75,13,1,143,300
City Centre Mall,26.152,91.776,12,1,54,120
M Chinnaswamy Stadium,12.978,77.599,12,6,245,600
Phoenix Marketcity,19.088,72.882,16,2,187,400
M Chinnaswamy Stadium,12.978,77.599,17,1,271,600
Gateway of India Parking,18.922,72.834,22,2,47,80
Gateway of India Parking,18.922,72.834,6,4,41,80
Guwahati Railway Station,26.181,91.75,12,5,161,300
India Gate Parking,28.612,77.229,17,0,44,100
Indira Gandhi Athletic Stadium,26.111,91.761,0,1,313,500
Guwahati Railway Station,26.181,91.75,12,5,215,300
Select CITYWALK,28.528,77.218,17,2,270,350
M Chinnaswamy Stadium,12.978,77.599,15,6,411,600
UB City Mall,12.971,77.595,6,1,155,200
Guwahati Railway Station,26.181,91.75,16,0,170,300
M Chinnaswamy Stadium,12.978,77.599,10,1,361,600
Chhatrapati Shivaji Terminus,18.94,72.835,2,1,109,150
UB City Mall,12.971,77.595,2,6,24,200
Indira Gandhi Athletic Stadium,26.111,91.761,22,2,289,500
India Gate Parking,28.612,77.229,18,2,70,100
Gateway of India Parking,18.922,72.834,22,4,34,80
Indira Gandhi Athletic Stadium,26.111,91.761,9,5,395,500
Gateway of India Parking,18.922,72.834,4,3,58,80
Phoenix Marketcity,19.088,72.882,0,4,175,400
Indira Gandhi Athletic Stadium,26.111,91.761,15,4,396,500
Guwahati Railway Station,26.181,91.75,17,0,172,300
Select CITYWALK,28.528,77.218,15,0,252,350
Gateway of India Parking,18.922,72.834,14,0,46,80
City Centre Mall,26.152,91.776,13,1,91,120
Indira Gandhi Athletic Stadium,26.111,91.761,1,2,231,500
Chhatrapati Shivaji Terminus,18.94,72.835,2,3,81,150
Indira Gandhi Athletic Stadium,26.111,91.761,3,4,396,500
Gateway of India Parking,18.922,72.834,14,2,49,80
Gateway of India Parking,18.922,72.834,21,1,60,80
UB City Mall,12.971,77.595,2,1,108,200
Indira Gandhi Athletic Stadium,26.111,91.761,11,2,386,500
Phoenix Marketcity,19.088,72.882,15,6,187,400
Guwahati Railway Station,26.181,91.75,5,4,163,300
India Gate Parking,28.612,77.229,19,1,53,100
City Centre Mall,26.152,91.776,20,0,59,120
UB City Mall,12.971,77.595,19,2,152,200
Indira Gandhi Athletic Stadium,26.111,91.761,5,1,249,500
City Centre Mall,26.152,91.776,4,1,51,120
Guwahati Railway Station,26.181,91.75,5,6,179,300
UB City Mall,12.971,77.595,2,2,111,200
Select CITYWALK,28.528,77.218,19,5,216,350
M Chinnaswamy Stadium,12.978,77.599,9,1,468,600
Connaught Place,28.631,77.219,21,4,119,200
Indira Gandhi Athletic Stadium,26.111,91.761,13,1,313,500
Guwahati Railway Station,26.181,91.75,19,1,187,300
Select CITYWALK,28.528,77.218,3,1,222,350
City Centre Mall,26.152,91.776,20,2,89,120
Guwahati Railway Station,26.181,91.75,10,6,178,300
Indira Gandhi Athletic Stadium,26.111,91.761,20,1,358,500
Select CITYWALK,28.528,77.218,0,2,238,350
Chhatrapati Shivaji Terminus,18.94,72.835,7,0,63,150
Connaught Place,28.631,77.219,1,3,114,200
M Chinnaswamy Stadium,12.978,77.599,5,0,397,600
India Gate Parking,28.612,77.229,15,6,59,100
M Chinnaswamy Stadium,12.978,77.599,11,3,415,600
Gateway of India Parking,18.922,72.834,0,5,63,80
UB City Mall,12.971,77.595,17,1,138,200
UB City Mall,12.971,77.595,10,6,25,200
Connaught Place,28.631,77.219,1,4,155,200
M Chinnaswamy Stadium,12.978,77.599,15,3,478,600
City Centre Mall,26.152,91.776,9,0,90,120
Select CITYWALK,28.528,77.218,3,3,252,350
India Gate Parking,28.612,77.229,11,4,55,100
M Chinnaswamy Stadium,12.978,77.599,13,6,457,600
Guwahati Railway Station,26.181,91.75,8,2,228,300
M Chinnaswamy Stadium,12.978,77.599,15,2,288,600
Guwahati Railway Station,26.181,91.75,17,5,122,300
Gateway of India Parking,18.922,72.834,19,5,56,80
UB City Mall,12.971,77.595,1,4,85,200
India Gate Parking,28.612,77.229,9,6,62,100
Select CITYWALK,28.528,77.218,23,2,174,350
Select CITYWALK,28.528,77.218,0,1,149,350
M Chinnaswamy Stadium,12.978,77.599,19,2,418,600
Indira Gandhi Athletic Stadium,26.111,91.761,14,0,359,500
Chhatrapati Shivaji Terminus,18.94,72.835,4,3,73,150
M Chinnaswamy Stadium,12.978,77.599,13,5,262,600
Guwahati Railway Station,26.181,91.75,10,2,192,300
Select CITYWALK,28.528,77.218,23,1,266,350
City Centre Mall,26.152,91.776,1,6,12,120
Connaught Place,28.631,77.219,19,1,134,200
Connaught Place,28.631,77.219,14,4,123,200
UB City Mall,12.971,77.595,10,4,103,200
UB City Mall,12.971,77.595,16,6,21,200
City Centre Mall,26.152,91.776,20,5,19,120
Select CITYWALK,28.528,77.218,6,6,251,350
UB City Mall,12.971,77.595,8,1,82,200
Indira Gandhi Athletic Stadium,26.111,91.761,4,1,371,500
Gateway of India Parking,18.922,72.834,4,1,46,80
UB City Mall,12.971,77.595,0,0,87,200
Gateway of India Parking,18.922,72.834,13,2,61,80
Gateway of India Parking,18.922,72.834,18,0,50,80
Select CITYWALK,28.528,77.218,5,5,251,350
Gateway of India Parking,18.922,72.834,21,6,41,80
Guwahati Railway Station,26.181,91.75,15,6,194,300
Connaught Place,28.631,77.219,17,6,104,200
M Chinnaswamy Stadium,12.978,77.599,16,1,308,600
Indira Gandhi Athletic Stadium,26.111,91.761,8,0,278,500
Chhatrapati Shivaji Terminus,18.94,72.835,0,1,94,150
Connaught Place,28.631,77.219,10,5,80,200
Guwahati Railway Station,26.181,91.75,1,3,216,300
Select CITYWALK,28.528,77.218,14,4,225,350
India Gate Parking,28.612,77.229,0,0,77,100
Gateway of India Parking,18.922,72.834,11,0,62,80
Connaught Place,28.631,77.219,1,0,135,200
City Centre Mall,26.152,91.776,7,3,81,120
City Centre Mall,26.152,91.776,12,5,9,120
India Gate Parking,28.612,77.229,9,3,61,100
UB City Mall,12.971,77.595,4,1,128,200
Select CITYWALK,28.528,77.218,22,0,255,350
Guwahati Railway Station,26.181,91.75,14,2,197,300
UB City Mall,12.971,77.595,17,2,101,200
UB City Mall,12.971,77.595,8,4,132,200
Connaught Place,28.631,77.219,20,1,141,200
Guwahati Railway Station,26.181,91.75,17,3,208,300
UB City Mall,12.971,77.595,20,3,156,200
Indira Gandhi Athletic Stadium,26.111,91.761,13,5,366,500
UB City Mall,12.971,77.595,15,6,14,200
UB City Mall,12.971,77.595,23,2,92,200
City Centre Mall,26.152,91.776,13,0,66,120
Chhatrapati Shivaji Terminus,18.94,72.835,21,4,66,150
Guwahati Railway Station,26.181,91.75,6,0,210,300
M Chinnaswamy Stadium,12.978,77.599,21,0,429,600
Connaught Place,28.631,77.219,10,0,83,200
India Gate Parking,28.612,77.229,19,0,61,100
Indira Gandhi Athletic Stadium,26.111,91.761,14,2,233,500
Gateway of India Parking,18.922,72.834,19,3,42,80
UB City Mall,12.971,77.595,2,1,146,200
UB City Mall,12.971,77.595,16,1,145,200
India Gate Parking,28.612,77.229,0,4,56,100
UB City Mall,12.971,77.595,10,0,146,200
Chhatrapati Shivaji Terminus,18.94,72.835,23,5,86,150
Guwahati Railway Station,26.181,91.75,21,4,124,300
Gateway of India Parking,18.922,72.834,23,1,53,80
Guwahati Railway Station,26.181,91.75,9,0,207,300
Indira Gandhi Athletic Stadium,26.111,91.761,1,2,393,500
Phoenix Marketcity,19.088,72.882,8,6,267,400
City Centre Mall,26.152,91.776,2,5,13,120
City Centre Mall,26.152,91.776,2,2,61,120
Chhatrapati Shivaji Terminus,18.94,72.835,16,4,90,150
Guwahati Railway Station,26.181,91.75,1,5,129,300
M Chinnaswamy Stadium,12.978,77.599,20,1,295,600
Gateway of India Parking,18.922,72.834,0,3,41,80
Connaught Place,28.631,77.219,12,4,153,200
Indira Gandhi Athletic Stadium,26.111,91.761,5,5,304,500
M Chinnaswamy Stadium,12.978,77.599,10,2,371,600
M Chinnaswamy Stadium,12.978,77.599,11,6,334,600
Select CITYWALK,28.528,77.218,6,3,258,350
Select CITYWALK,28.528,77.218,14,1,148,350
Select CITYWALK,28.528,77.218,18,4,267,350
UB City Mall,12.971,77.595,18,6,31,200
Gateway of India Parking,18.922,72.834,15,6,36,80
Indira Gandhi Athletic Stadium,26.111,91.761,12,4,340,500
Chhatrapati Shivaji Terminus,18.94,72.835,9,6,115,150
Indira Gandhi Athletic Stadium,26.111,91.761,11,1,323,500
Chhatrapati Shivaji Terminus,18.94,72.835,4,5,111,150
City Centre Mall,26.152,91.776,4,1,82,120
UB City Mall,12.971,77.595,0,2,99,200
Select CITYWALK,28.528,77.218,22,2,188,350
Select CITYWALK,28.528,77.218,21,6,203,350
UB City Mall,12.971,77.595,5,4,150,200
India Gate Parking,28.612,77.229,8,0,78,100
Chhatrapati Shivaji Terminus,18.94,72.835,6,0,93,150
Chhatrapati Shivaji Terminus,18.94,72.835,19,0,91,150
Gateway of India Parking,18.922,72.834,21,4,54,80
UB City Mall,12.971,77.595,20,2,157,200
Chhatrapati Shivaji Terminus,18.94,72.835,12,6,72,150
UB City Mall,12.971,77.595,15,4,156,200
Guwahati Railway Station,26.181,91.75,21,4,193,300
M Chinnaswamy Stadium,12.978,77.599,16,3,394,600
India Gate Parking,28.612,77.229,6,2,54,100
Select CITYWALK,28.528,77.218,0,5,246,350
Phoenix Marketcity,19.088,72.882,22,5,171,400
M Chinnaswamy Stadium,12.978,77.599,15,3,251,600
Phoenix Marketcity,19.088,72.882,14,4,216,400
Phoenix Marketcity,19.088,72.882,9,4,197,400
Select CITYWALK,28.528,77.218,8,0,201,350
City Centre Mall,26.152,91.776,11,2,93,120
Guwahati Railway Station,26.181,91.75,18,6,130,300
Phoenix Marketcity,19.088,72.882,10,6,187,400
UB City Mall,12.971,77.595,21,5,12,200
Chhatrapati Shivaji Terminus,18.94,72.835,21,2,102,150
Indira Gandhi Athletic Stadium,26.111,91.761,16,1,322,500
India Gate Parking,28.612,77.229,4,2,74,100
Gateway of India Parking,18.922,72.834,15,2,39,80
M Chinnaswamy Stadium,12.978,77.599,4,1,246,600
Gateway of India Parking,18.922,72.834,23,5,49,80
India Gate Parking,28.612,77.229,7,3,52,100
Connaught Place,28.631,77.219,18,0,145,200
Indira Gandhi Athletic Stadium,26.111,91.761,18,0,265,500
UB City Mall,12.971,77.595,0,3,103,200
India Gate Parking,28.612,77.229,4,5,45,100
UB City Mall,12.971,77.595,20,4,108,200
Chhatrapati Shivaji Terminus,18.94,72.835,9,4,108,150
M Chinnaswamy Stadium,12.978,77.599,8,6,380,600
Phoenix Marketcity,19.088,72.882,1,2,198,400
City Centre Mall,26.152,91.776,20,2,50,120
M Chinnaswamy Stadium,12.978,77.599,23,5,251,600
Indira Gandhi Athletic Stadium,26.111,91.761,2,2,338,500
Gateway of India Parking,18.922,72.834,3,4,46,80
Select CITYWALK,28.528,77.218,4,2,159,350
Phoenix Marketcity,19.088,72.882,3,4,183,400
City Centre Mall,26.152,91.776,9,6,8,120
City Centre Mall,26.152,91.776,7,0,72,120
Indira Gandhi Athletic Stadium,26.111,91.761,0,2,393,500
Phoenix Marketcity,19.088,72.882,11,4,239,400
Guwahati Railway Station,26.181,91.75,13,2,123,300
Connaught Place,28.631,77.219,8,5,100,200
UB City Mall,12.971,77.595,23,0,131,200
Gateway of India Parking,18.922,72.834,9,4,35,80
Gateway of India Parking,18.922,72.834,9,3,38,80
Guwahati Railway Station,26.181,91.75,13,5,149,300
Indira Gandhi Athletic Stadium,26.111,91.761,21,0,245,500
Indira Gandhi Athletic Stadium,26.111,91.761,4,5,216,500
M Chinnaswamy Stadium,12.978,77.599,6,2,285,600
City Centre Mall,26.152,91.776,19,1,95,120
UB City Mall,12.971,77.595,8,5,34,200
Connaught Place,28.631,77.219,5,3,159,200
Guwahati Railway Station,26.181,91.75,4,1,165,300
Guwahati Railway Station,26.181,91.75,20,4,149,300
Phoenix Marketcity,19.088,72.882,2,1,168,400
Indira Gandhi Athletic Stadium,26.111,91.761,9,0,290,500
M Chinnaswamy Stadium,12.978,77.599,16,1,476,600
Gateway of India Parking,18.922,72.834,22,2,50,80
Chhatrapati Shivaji Terminus,18.94,72.835,10,3,70,150
Select CITYWALK,28.528,77.218,6,2,220,350
Chhatrapati Shivaji Terminus,18.94,72.835,5,3,77,150
Phoenix Marketcity,19.088,72.882,6,5,177,400
Chhatrapati Shivaji Terminus,18.94,72.835,15,2,100,150
Indira Gandhi Athletic Stadium,26.111,91.761,5,2,299,500
Phoenix Marketcity,19.088,72.882,6,3,265,400
Indira Gandhi Athletic Stadium,26.111,91.761,13,0,287,500
UB City Mall,12.971,77.595,20,0,84,200
M Chinnaswamy Stadium,12.978,77.599,2,3,450,600
UB City Mall,12.971,77.595,3,2,148,200
Chhatrapati Shivaji Terminus,18.94,72.835,14,4,111,150
Chhatrapati Shivaji Terminus,18.94,72.835,2,3,63,150
Select CITYWALK,28.528,77.218,22,5,194,350
Guwahati Railway Station,26.181,91.75,22,1,140,300
M Chinnaswamy Stadium,12.978,77.599,18,2,412,600
India Gate Parking,28.612,77.229,11,3,72,100
Gateway of India Parking,18.922,72.834,20,6,32,80
City Centre Mall,26.152,91.776,2,4,70,120
Phoenix Marketcity,19.088,72.882,13,2,222,400
Phoenix Marketcity,19.088,72.882,22,1,289,400
Chhatrapati Shivaji Terminus,18.94,72.835,1,6,61,150
Guwahati Railway Station,26.181,91.75,18,2,158,300
India Gate Parking,28.612,77.229,18,1,54,100
Chhatrapati Shivaji Terminus,18.94,72.835,21,3,80,150
UB City Mall,12.971,77.595,1,6,17,200
Indira Gandhi Athletic Stadium,26.111,91.761,10,3,335,500
M Chinnaswamy Stadium,12.978,77.599,23,3,445,600
Indira Gandhi Athletic Stadium,26.111,91.761,22,5,203,500
Select CITYWALK,28.528,77.218,19,1,162,350
UB City Mall,12.971,77.595,1,2,114,200
Chhatrapati Shivaji Terminus,18.94,72.835,13,0,90,150
UB City Mall,12.971,77.595,18,4,129,200
City Centre Mall,26.152,91.776,16,5,13,120
M Chinnaswamy Stadium,12.978,77.599,17,5,302,600
Connaught Place,28.631,77.219,21,3,109,200
Connaught Place,28.631,77.219,6,4,101,200
Gateway of India Parking,18.922,72.834,5,6,62,80
Select CITYWALK,28.528,77.218,13,6,150,350
Guwahati Railway Station,26.181,91.75,14,0,237,300
Phoenix Marketcity,19.088,72.882,15,5,297,400
Chhatrapati Shivaji Terminus,18.94,72.835,7,1,73,150
India Gate Parking,28.612,77.229,5,5,45,100
Indira Gandhi Athletic Stadium,26.111,91.761,23,1,254,500
Gateway of India Parking,18.922,72.834,13,5,47,80
M Chinnaswamy Stadium,12.978,77.599,1,6,426,600
Connaught Place,28.631,77.219,5,4,133,200
Indira Gandhi Athletic Stadium,26.111,91.761,19,1,272,500
Connaught Place,28.631,77.219,5,1,101,200
City Centre Mall,26.152,91.776,22,6,13,120
India Gate Parking,28.612,77.229,15,0,73,100
M Chinnaswamy Stadium,12.978,77.599,14,1,298,600
Chhatrapati Shivaji Terminus,18.94,72.835,2,2,63,150
India Gate Parking,28.612,77.229,20,0,75,100
UB City Mall,12.971,77.595,5,4,86,200
Connaught Place,28.631,77.219,20,1,140,200
City Centre Mall,26.152,91.776,23,5,8,120
Chhatrapati Shivaji Terminus,18.94,72.835,7,5,104,150
Indira Gandhi Athletic Stadium,26.111,91.761,10,1,233,500
Indira Gandhi Athletic Stadium,26.111,91.761,19,0,247,500
M Chinnaswamy Stadium,12.978,77.599,12,5,477,600
M Chinnaswamy Stadium,12.978,77.599,5,3,372,600
India Gate Parking,28.612,77.229,19,5,79,100
Chhatrapati Shivaji Terminus,18.94,72.835,6,1,102,150
M Chinnaswamy Stadium,12.978,77.599,9,6,389,600
Indira Gandhi Athletic Stadium,26.111,91.761,14,2,389,500
Select CITYWALK,28.528,77.218,9,5,240,350
Select CITYWALK,28.528,77.218,16,1,244,350
Chhatrapati Shivaji Terminus,18.94,72.835,19,4,119,150
M Chinnaswamy Stadium,12.978,77.599,21,4,356,600
Indira Gandhi Athletic Stadium,26.111,91.761,7,0,359,500
Indira Gandhi Athletic Stadium,26.111,91.761,20,2,288,500
Indira Gandhi Athletic Stadium,26.111,91.761,6,5,385,500
Chhatrapati Shivaji Terminus,18.94,72.835,14,3,71,150
Connaught Place,28.631,77.219,2,4,102,200
Phoenix Marketcity,19.088,72.882,13,6,282,400
M Chinnaswamy Stadium,12.978,77.599,0,6,297,600
Gateway of India Parking,18.922,72.834,20,6,58,80
Gateway of India Parking,18.922,72.834,4,2,62,80
Connaught Place,28.631,77.219,9,4,127,200
Connaught Place,28.631,77.219,15,1,158,200
City Centre Mall,26.152,91.776,8,2,90,120
Gateway of India Parking,18.922,72.834,15,1,34,80
City Centre Mall,26.152,91.776,7,6,15,120
Gateway of India Parking,18.922,72.834,21,4,52,80
City Centre Mall,26.152,91.776,12,2,61,120
Chhatrapati Shivaji Terminus,18.94,72.835,6,0,62,150
Phoenix Marketcity,19.088,72.882,12,4,268,400
M Chinnaswamy Stadium,12.978,77.599,22,0,440,600
Phoenix Marketcity,19.088,72.882,20,1,265,400
Gateway of India Parking,18.922,72.834,7,0,48,80
Indira Gandhi Athletic Stadium,26.111,91.761,0,0,344,500
Gateway of India Parking,18.922,72.834,21,0,41,80
M Chinnaswamy Stadium,12.978,77.599,16,0,413,600
Connaught Place,28.631,77.219,19,6,158,200
UB City Mall,12.971,77.595,17,5,21,200
Indira Gandhi Athletic Stadium,26.111,91.761,20,1,394,500
M Chinnaswamy Stadium,12.978,77.599,21,4,315,600
India Gate Parking,28.612,77.229,16,6,46,100
Chhatrapati Shivaji Terminus,18.94,72.835,23,6,73,150
UB City Mall,12.971,77.595,8,2,107,200
Indira Gandhi Athletic Stadium,26.111,91.761,7,2,286,500
Phoenix Marketcity,19.088,72.882,1,6,168,400
Select CITYWALK,28.528,77.218,18,5,266,350
Connaught Place,28.631,77.219,21,4,109,200
M Chinnaswamy Stadium,12.978,77.599,19,3,318,600
UB City Mall,12.971,77.595,4,1,152,200
Chhatrapati Shivaji Terminus,18.94,72.835,12,2,73,150
M Chinnaswamy Stadium,12.978,77.599,0,4,314,600
City Centre Mall,26.152,91.776,4,1,53,120
Chhatrapati Shivaji Terminus,18.94,72.835,21,4,80,150
Indira Gandhi Athletic Stadium,26.111,91.761,9,5,395,500
M Chinnaswamy Stadium,12.978,77.599,10,6,354,600
Phoenix Marketcity,19.088,72.882,16,5,214,400
City Centre Mall,26.152,91.776,7,6,21,120
Indira Gandhi Athletic Stadium,26.111,91.761,3,4,228,500
UB City Mall,12.971,77.595,15,4,115,200
M Chinnaswamy Stadium,12.978,77.599,13,2,244,600
Indira Gandhi Athletic Stadium,26.111,91.761,2,2,252,500
M Chinnaswamy Stadium,12.978,77.599,9,4,463,600
Chhatrapati Shivaji Terminus,18.94,72.835,1,2,70,150
India Gate Parking,28.612,77.229,8,6,71,100
India Gate Parking,28.612,77.229,3,2,43,100
UB City Mall,12.971,77.595,15,5,34,200
Select CITYWALK,28.528,77.218,16,2,159,350
Connaught Place,28.631,77.219,6,2,86,200
UB City Mall,12.971,77.595,6,6,25,200
City Centre Mall,26.152,91.776,14,6,15,120
Connaught Place,28.631,77.219,8,2,106,200
Gateway of India Parking,18.922,72.834,3,2,58,80
M Chinnaswamy Stadium,12.978,77.599,5,2,402,600
Gateway of India Parking,18.922,72.834,5,1,41,80
M Chinnaswamy Stadium,12.978,77.599,11,6,273,600
UB City Mall,12.971,77.595,16,1,141,200
India Gate Parking,28.612,77.229,14,4,54,100
M Chinnaswamy Stadium,12.978,77.599,10,1,460,600
Guwahati Railway Station,26.181,91.75,4,6,193,300
City Centre Mall,26.152,91.776,3,2,75,120
M Chinnaswamy Stadium,12.978,77.599,13,4,426,600
Guwahati Railway Station,26.181,91.75,5,5,198,300
Gateway of India Parking,18.922,72.834,12,1,56,80
M Chinnaswamy Stadium,12.978,77.599,18,3,310,600
Indira Gandhi Athletic Stadium,26.111,91.761,8,2,269,500
Chhatrapati Shivaji Terminus,18.94,72.835,5,2,105,150
City Centre Mall,26.152,91.776,13,1,64,120
City Centre Mall,26.152,91.776,0,6,14,120
UB City Mall,12.971,77.595,15,0,132,200
India Gate Parking,28.612,77.229,19,5,52,100
Chhatrapati Shivaji Terminus,18.94,72.835,3,6,112,150
UB City Mall,12.971,77.595,9,6,25,200
India Gate Parking,28.612,77.229,10,6,70,100
Guwahati Railway Station,26.181,91.75,5,0,149,300
City Centre Mall,26.152,91.776,20,0,58,120
Select CITYWALK,28.528,77.218,5,0,169,350
Indira Gandhi Athletic Stadium,26.111,91.761,22,0,381,500
Connaught Place,28.631,77.219,5,3,116,200
City Centre Mall,26.152,91.776,12,4,90,120
UB City Mall,12.971,77.595,0,2,105,200
UB City Mall,12.971,77.595,20,1,114,200
Chhatrapati Shivaji Terminus,18.94,72.835,0,4,86,150
Gateway of India Parking,18.922,72.834,21,6,39,80
Select CITYWALK,28.528,77.218,14,3,159,350
Select CITYWALK,28.528,77.218,11,5,171,350
Select CITYWALK,28.528,77.218,8,2,259,350
UB City Mall,12.971,77.595,2,5,22,200
Phoenix Marketcity,19.088,72.882,23,2,209,400
M Chinnaswamy Stadium,12.978,77.599,20,5,419,600
India Gate Parking,28.612,77.229,3,1,57,100
UB City Mall,12.971,77.595,1,5,37,200
City Centre Mall,26.152,91.776,9,3,64,120
M Chinnaswamy Stadium,12.978,77.599,10,5,452,600
UB City Mall,12.971,77.595,1,2,147,200
Select CITYWALK,28.528,77.218,9,0,246,350
Guwahati Railway Station,26.181,91.75,10,3,181,300
UB City Mall,12.971,77.595,2,1,152,200
Guwahati Railway Station,26.181,91.75,0,1,231,300
UB City Mall,12.971,77.595,4,3,124,200
City Centre Mall,26.152,91.776,21,5,8,120
Select CITYWALK,28.528,77.218,23,0,271,350
